video_id,show_id,season_id,episode_no,snapshot_at,view_count,like_count,comment_count,source_method,actor_name,actor_run_id
0Q1dO9JZxOc,TBTN,TBTN_2025,7,2026-08-12T14:00:05.693993+07:00,4214350,63000,16838,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
1ezn2QIqO40,TBTN,TBTN_2025,9,2026-08-12T14:00:05.693993+07:00,4576465,61000,19778,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
3KyIPaoEv1Y,TBTN,TBTN_2025,5,2026-08-12T14:00:05.693993+07:00,4291316,60000,8029,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
GH2ij7WKDCY,TBTN,TBTN_2025,14,2026-08-12T14:00:05.693993+07:00,4236702,62000,27179,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
KQQPuP-2Tgs,TBTN,TBTN_2025,15,2026-08-12T14:00:05.693993+07:00,4271236,73000,22529,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
N4AnQDIElV8,TBTN,TBTN_2025,3,2026-08-12T14:00:05.693993+07:00,5605086,63000,18457,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
QFQEzCBM5bM,TBTN,TBTN_2025,13,2026-08-12T14:00:05.693993+07:00,4409539,59000,13374,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
TuVJsLzz1hQ,TBTN,TBTN_2025,12,2026-08-12T14:00:05.693993+07:00,4591131,64000,12256,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
UMKLgnw9oeI,TBTN,TBTN_2025,8,2026-08-12T14:00:05.693993+07:00,4203007,61000,22338,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
aKBwDFoYKX0,TBTN,TBTN_2025,4,2026-08-12T14:00:05.693993+07:00,4831015,60000,7409,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
e7lqxbooUUc,TBTN,TBTN_2025,6,2026-08-12T14:00:05.693993+07:00,4587945,66000,19624,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
g_YXZ49A1zY,TBTN,TBTN_2025,1,2026-08-12T14:00:05.693993+07:00,7039627,67000,7379,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
nldxUlVYhwg,TBTN,TBTN_2025,11,2026-08-12T14:00:05.693993+07:00,4378018,62000,12298,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
oBYRLla12fM,TBTN,TBTN_2025,10,2026-08-12T14:00:05.693993+07:00,4317444,63000,20056,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
yYJxZnk7g7k,TBTN,TBTN_2025,2,2026-08-12T14:00:05.693993+07:00,5567597,65000,9470,apify,streamers/youtube-scraper,OukmJuGjfOeqqXWfI
0HMkCTg_IFE,OURSONG,OURSONG_2024,4,2026-08-12T14:00:36.110442+07:00,3147341,8800,2175,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
1PbUucFccGg,OURSONG,OURSONG_2024,13,2026-08-12T14:00:36.110442+07:00,3590745,6300,1059,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
ElnXBYa2hsQ,OURSONG,OURSONG_2024,10,2026-08-12T14:00:36.110442+07:00,2665318,7100,2192,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
MbLvPIt7cAA,OURSONG,OURSONG_2024,3,2026-08-12T14:00:36.110442+07:00,2476664,18000,2468,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
PJ7ZVNcyqvM,OURSONG,OURSONG_2024,11,2026-08-12T14:00:36.110442+07:00,3014772,8900,2714,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
RUpi6MrvdUo,OURSONG,OURSONG_2024,9,2026-08-12T14:00:36.110442+07:00,2587696,5500,2187,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
RYPVmeZ0RCk,OURSONG,OURSONG_2024,6,2026-08-12T14:00:36.110442+07:00,2841491,6900,1895,apify,streamers/youtube-scraper,csqekMeoBu6i3BPbj
